점검 ID,기능 또는 구성요소,기준 문서와 조항,현재 계획 상태,기대 동작 또는 완료 조건,구현 파일과 진입점,관련 테스트와 실행 검증 방법,실제 결과,증거 위치,판정,심각도,다음 조치,판정 범위와 제한
SYS-11,자막,번역 승인,완료 주장(기능 제공 설명 기준; 실사용 최종 승인 의미 아님),내용·스타일·타이밍 유지,transcript·caption controls (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),전체 JUnit/프런트 로그의 관련 테스트는 표본 근거; 요구 전체 충족 연결은 미검증; 내용·스타일·타이밍 유지,"자동 근거, 실제 시청 승인 없음",artifacts/system-audit-2026-09-09-2348/e2e.log;reverse-output.json,차단,Important,실제 자막 포함 출력 비교; 이번 합성 출력은 caption_count=0,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-12,음성·음악·효과음,docs/implementation-plan.ko.md §4,완료 주장(기능 제공 설명 기준; 실사용 최종 승인 의미 아님),선택·음량·재생·출력 반영,audio controls·TTS/host bridge (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),전체 JUnit/프런트 로그의 관련 테스트는 표본 근거; 요구 전체 충족 연결은 미검증; 선택·음량·재생·출력 반영,실제 음성 생성·청취 미검증,artifacts/system-audit-2026-09-09-2348/e2e.log;reverse-output.json,차단,Important,실제 음성/음악 조작과 출력 비교; 합성 sine 성공만 있음,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-13,번역·더빙,09-02~03 승인,완료 주장(기능 제공 설명 기준; 실사용 최종 승인 의미 아님),비동기 접수·상태·실패·재시도,orchestration·progress polling (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),전체 JUnit/프런트 로그의 관련 테스트는 표본 근거; 요구 전체 충족 연결은 미검증; 비동기 접수·상태·실패·재시도,"자동 근거, 실모델·긴 영상 미검증",artifacts/system-audit-2026-09-09-2348/pytest-short-results.xml,차단,Important,실모델/긴 영상/진행/실패/취소 검증,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-14,유진 편집,09-01 승인,완료 주장(기능 제공 설명 기준; 실사용 최종 승인 의미 아님),직접 적용·범위 제한·버전·되돌리기,director_proposals·editing proposal adapter (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),apps/web/e2e/editor-workbench.spec.mjs; 직접 적용·범위 제한·버전·되돌리기,모델 통합 실사용 미검증,artifacts/system-audit-2026-09-09-2348/e2e.log,차단,Important,INVEST-02 및 실모델 직접 적용/undo/범위/버전 검증,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-15,기억·사서,인계 §6; docs/handoffs/2026-09-08-hermes-egress-and-multitrack-plans.ko.md 및 최신 pointer 재확인,진행 중(점검상 잠정 분류; 세부 승인/완료 상태 추가 매핑 필요),후보만 생성·승인 경계·중복·워터마크,yujin_memory·memory_librarian (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),tests/test_memory_librarian_distill.py;test_memory_librarian_watermark.py;test_run_memory_librarian_script.py; 후보만 생성·승인 경계·중복·워터마크,"D 선별 시험 통과, 운영 기억 변경 없음",artifacts/system-audit-2026-09-09-2348/current-backend.xml;runtime-current.json,미검증,Important,사서 3파일 단위 성공과 운영 후보/승인 영속성을 분리 검증,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-16,미리보기·최종 MP4,docs/development-fast-path.ko.md §10.0,완료 주장(기능 제공 설명 기준; 실사용 최종 승인 의미 아님),현재 편집 반영·파일·재생·원본 추적,outputs·FfmpegFinalRenderer (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),tests/test_api_final_render_endpoint.py;apps/web/e2e/exact-preview.spec.mjs;reverse-output.py;play-output.mjs; 현재 편집 반영·파일·재생·원본 추적,"합성 legacy 출력 재생·역추적 통과, 현재 편집 세션 반영 미검증",artifacts/system-audit-2026-09-09-2348/reverse-output.json;synthetic-playback.json;e2e.log,미검증,Important,legacy 재생만 통과; 현행 session revision/자막/MP4 역추적,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-17,가로·세로 변형,docs/implementation-plan.ko.md §8.4,완료 주장(기능 제공 설명 기준; 실사용 최종 승인 의미 아님),같은 원본·변형 상태·출력 유지,output_variants (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),전체 JUnit/프런트 로그의 관련 테스트는 표본 근거; 요구 전체 충족 연결은 미검증; 같은 원본·변형 상태·출력 유지,"자동 근거, 실영상 변형 미검증",artifacts/system-audit-2026-09-09-2348/e2e.log,차단,Important,실제 가로/세로 변형과 원본/session 경계 검증,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-18,CapCut,docs/development-fast-path.ko.md §10.0,완료 주장(기능 제공 설명 기준; 실사용 최종 승인 의미 아님),선택적 호환 결과·실제 Desktop,capcut-export·host bridge (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),전체 JUnit/프런트 로그의 관련 테스트는 표본 근거; 요구 전체 충족 연결은 미검증; 선택적 호환 결과·실제 Desktop,"설치 탐지만 확인, Desktop 편집·출력 미검증",artifacts/system-audit-2026-09-09-2348/owner-ready-check.json,미검증,Minor,선택적 CapCut Desktop handoff/편집/출력 확인,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-19,공유·회수,최신 인계 §7; docs/handoffs/2026-09-08-hermes-egress-and-multitrack-plans.ko.md 및 최신 pointer 재확인,완료 주장(기능 제공 설명 기준; 실사용 최종 승인 의미 아님),새로고침 후 목록·회수,OutputsPage·preview_shares (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),전체 JUnit/프런트 로그의 관련 테스트는 표본 근거; 요구 전체 충족 연결은 미검증; 새로고침 후 목록·회수,"프런트 자동 검증, 실제 링크 생성/회수 안 함",artifacts/system-audit-2026-09-09-2348/frontend-current.log,차단,Important,격리 실제 링크 생성/회수/재진입 검증,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-20,MCP,최신 인계 §1; docs/handoffs/2026-09-08-hermes-egress-and-multitrack-plans.ko.md 및 최신 pointer 재확인,완료 주장(기능 제공 설명 기준; 실사용 최종 승인 의미 아님),stdio 도구·오류·범위 제한,services/mcp (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),전체 JUnit/프런트 로그의 관련 테스트는 표본 근거; 요구 전체 충족 연결은 미검증; stdio 도구·오류·범위 제한,"자동 근거, 현재 컨테이너 stdio 통합 미검증",artifacts/system-audit-2026-09-09-2348/pytest-short-results.xml,미검증,Important,현재 container stdio tools 통합 및 범위 제한 검증,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-21,저장·원본 보호,docs/development-fast-path.ko.md §10.14·§11,완료 주장(기능 제공 설명 기준; 실사용 최종 승인 의미 아님),경로 경계·일관성·재접속·원본 보존,local_project_store/postgres·asset paths (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),전체 JUnit/프런트 로그의 관련 테스트는 표본 근거; 요구 전체 충족 연결은 미검증; 경로 경계·일관성·재접속·원본 보존,"운영 읽기만, 복구·마이그레이션 실증 없음",artifacts/system-audit-2026-09-09-2348/runtime-current.json;reverse-output.json,차단,Important,격리 PostgreSQL/파일 경계/영속/마이그레이션/복구 검증,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-22,보호 경계,CSRF 인계·docs/development-fast-path.ko.md §10.14; docs/handoffs/2026-09-08-hermes-egress-and-multitrack-plans.ko.md 및 최신 pointer 재확인,진행 중(점검상 잠정 분류; 세부 승인/완료 상태 추가 매핑 필요),승인 Origin·credential 비노출·외부 전송 제한,csrf_guard·gateway·network config (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),tests/test_approval_routes_reject_untrusted_origin.py;test_egress_allowlist_engine.py; 승인 Origin·credential 비노출·외부 전송 제한,"지정 경계 코드·구성 표본, 종합 보안 인증 아님",artifacts/system-audit-2026-09-09-2348/current-backend.xml;runtime-current.json,미검증,Important,CSRF/egress 표본 성공 외 경로/비밀/프로젝트 경계 조사,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-23,기동·장애 진단,docs/development-fast-path.ko.md §11,완료 주장(기능 제공 설명 기준; 실사용 최종 승인 의미 아님),준비 상태를 기능 성공과 구분,owner-ready·health (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),scripts/owner-ready.ps1 Check;runtime-current.py; 준비 상태를 기능 성공과 구분,"시작 시 blocked 2항목, 런타임 변동 있음",artifacts/system-audit-2026-09-09-2348/owner-ready-check.json;runtime-current.json,미검증,Important,A 2blocked와 D healthy 별개; 최신 owner-ready 변경 재검증,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-24,백업·복구,docs/development-fast-path.ko.md 데이터 보존,진행 중(점검상 잠정 분류; 세부 승인/완료 상태 추가 매핑 필요),DB+파일+승인/기억의 일관 복구,저장 전략·백업 문서 (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),전체 JUnit/프런트 로그의 관련 테스트는 표본 근거; 요구 전체 충족 연결은 미검증; DB+파일+승인/기억의 일관 복구,전체 복구 실증 미검증,artifacts/system-audit-2026-09-09-2348/reverse-output.json,미검증,Important,합성 전체 backup/restore 실증 필요; Mem0 백업으로 대체 금지,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-25,설치형,08-30 승인·docs/development-fast-path.ko.md §10.19,진행 중(점검상 잠정 분류; 세부 승인/완료 상태 추가 매핑 필요),설치·서명·웹뷰 Origin·기능 사용,apps/desktop (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),전체 JUnit/프런트 로그의 관련 테스트는 표본 근거; 요구 전체 충족 연결은 미검증; 설치·서명·웹뷰 Origin·기능 사용,미검증,artifacts/system-audit-2026-09-09-2348/owner-ready-check.json,미검증,Minor,설치/서명/webview Origin/실제 기능 승인 확인,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-26,외부 게시,승인 게이트,범위 밖(이번 진단의 실제 외부 전송),실제 전송 전 승인·실패 복구,YouTube·Telegram 연결 (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),전체 JUnit/프런트 로그의 관련 테스트는 표본 근거; 요구 전체 충족 연결은 미검증; 실제 전송 전 승인·실패 복구,이번 진단에서 실제 전송 제외,artifacts/system-audit-2026-09-09-2348/보고서 §7,해당 없음,해당 없음,실제 외부 전송 제외; 승인 경계 코드는 SYS-22,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-27,확장 계획,인계 §2·§3; docs/handoffs/2026-09-08-hermes-egress-and-multitrack-plans.ko.md 및 최신 pointer 재확인,진행 중(점검상 잠정 분류; 세부 승인/완료 상태 추가 매핑 필요),계획·부분 구현·실행 배선 분리,track_registry·egress allowlist (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),tests/test_track_registry.py;test_egress_allowlist_engine.py;D 이후 변경 테스트 목록; 계획·부분 구현·실행 배선 분리,미구현을 기존 제품 회귀로 집계하지 않음,artifacts/system-audit-2026-09-09-2348/current-backend.xml;changes-after-tested-baseline.txt,미검증,Important,D engine 단위 성공; 후속 멀티트랙/실행 egress 범위 별도 확인,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
